,Faallo,Sun ah,Fuxshi,Goodis,Caay,Sinji-nacayb,Aan sun aheyn
,Racfaan aa qadan ku laha duqa sharbaha weyn,1,0,0,1,1,0
,qiyaamo Xagu galayaa,0,0,0,0,0,0
,Dumarku waa sida beedka oo kle daryeel gaar ah bay mudan yihiin gabadh walba oo qoraalkayga akhrinaysa farxad baan kuu rajeenyaa,0,0,0,0,0,1
,War howlahan shaqadiina ma aha,1,0,0,0,0,0
,Cadaaladu way guulaysate,0,0,0,0,0,1
,Yaa huu meel ow hunguri karaadi,1,0,0,1,0,
,Goa.aanka Adi Ma lihid Abuukate Dhuuni Cadaalada Wax Walbo Ka weyn Dadkeena Dalkeena Waa Muslimiin Marka Diinteena Aa Difaacno Oo Aan ilaalino Sharciyada Ku Xusun Ayadaheena Qur.aanka Ee 114 Alx,1,0,0,1,0,0
,Racfaan Qof qaatay oo La Fasaxay Wali yaa arkay ,1,0,0,0,0,0
,Dambiile siid cali maanta waxaa cadeeyay in dambiile lagu tilmaamo gudoomiyaha maxkamada,1,0,0,0,0,0
,isha alah marwalbo xaqa aya guleysanayo,0,0,0,0,0,1
,TV Qaranka asagab hawal gal iyo Toosin u bahan wa meel aan dadka ka dhaxayn,1,0,0,0,0,0
,Dowladda xasan sheikh abuukateyaasha maxkamadda u joga haka saarto kuwa aan xalaasha ahayn iyo kuwa aan waligod aabe noqon.,1,0,0,1,0,0
,Magalka soo shido abuukate,0,0,0,0,0,1
,allah waydiisu irsaaqadda xalaal ah,0,0,0,0,0,1
,intaad qof muslim ah dhiigiisaa duudsiinaysid,1,0,0,1,0,0
,Imaaaanka beeeeel shilimaadbu raba in ku difaaaaco,1,0,0,1,,0
,Wax racfaan ah majiraan xukungu waa dhacyay,1,0,0,0,0,0
,Xukunkii maxkamadana kasodaya TV ishaa idinkuheynaa,0,0,0,0,0,1
,Sax weeye waa sida uu sheegay garyaqaanka,0,0,0,0,0,1
,Cadaalada ayaa shaqeyn doonta,0,0,0,0,0,1
,Mahadsanid Abuukate Ali xalane,0,0,0,0,0,1
,Caac ma taalo mahan calada ha jirto waliged,1,0,0,1,0,0
,Racfaan ma shaqeyn doono,1,0,0,0,0,0
,Racfaan Waa Buug cusub kaas oo labada beelood wax ku qoran doonaan hada kadib Fogatay,1,0,0,0,0,0
,Rasmi abukaatahan Dil halagu xukumo asagana,1,0,1,0,0,0
